name,company,image,for_gender,rating,number_votes,main accords ,sillage,top notes,middle notes,base notes,longevity,,gender_vote,price value,,,,,,,,seasons,main accords old
La Vie Est Belle Intensément,Lancome,https://fimgs.net/mdimg/perfume/375x500.59326.jpg,for women,4.04,693,"vanilla , powdery , sweet , fruity , woody , white floral , warm spicy , amber , iris , balsamic ",strong,"['Raspberry', 'Pink Pepper', 'Bergamot']","['Heliotrope', 'Jasmine Sambac', 'Orange Blossom']","['Vanilla', 'iris', 'Benzoin', 'Sandalwood', 'Patchouli']","{'very weak': 22, 'weak': 26, 'moderate': 84, 'long lasting': 124, 'eternal': 68}",,"{'female': 123, 'more female': 8, 'unisex': 2, 'more male': 0, 'male': 1}","{'way overpriced': 4, 'overpriced': 28, 'ok': 70, 'good value': 14, 'great value': 9}",,,,,,,,fall,"{'vanilla': 100.0, 'powdery': 87.6849, 'sweet': 77.2545, 'fruity': 74.5487, 'woody': 59.1565, 'white floral': 57.4146, 'warm spicy': 55.4584, 'amber': 54.9872, 'iris': 54.9872, 'balsamic': 48.5334}"
Miss Dior Rose N'Roses,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.58562.jpg,for women,3.59,905,"rose , musky , fresh spicy , citrus , aromatic , powdery , floral ",moderate,"['Geranium', 'Bergamot', 'Italian Mandarin']","['Grasse Rose', 'Damask Rose']",['White Musk'],"{'very weak': 41, 'weak': 48, 'moderate': 120, 'long lasting': 49, 'eternal': 35}",,"{'female': 103, 'more female': 5, 'unisex': 6, 'more male': 0, 'male': 0}","{'way overpriced': 12, 'overpriced': 33, 'ok': 38, 'good value': 5, 'great value': 4}",,,,,,,,spring,"{'rose': 100.0, 'musky': 73.75, 'fresh spicy': 70.5, 'citrus': 64.1875, 'aromatic': 60.8, 'powdery': 53.475, 'floral': 48.525}"
1 Million Parfum,Paco Rabanne,https://fimgs.net/mdimg/perfume/375x500.60035.jpg,for men,3.9,561,"white floral , amber , tuberose , animalic , woody , salty , tropical , leather , musky , coconut ",strong,[],"['Tuberose', 'Monoi Oil', 'Salt', 'Ambergris', 'Solar notes', 'Leather', 'Cashmeran', 'Pine', 'Labdanum']",[],"{'very weak': 20, 'weak': 23, 'moderate': 61, 'long lasting': 183, 'eternal': 124}",,"{'female': 2, 'more female': 7, 'unisex': 70, 'more male': 58, 'male': 55}","{'way overpriced': 8, 'overpriced': 29, 'ok': 82, 'good value': 32, 'great value': 4}",,,,,,,,fall,"{'white floral': 100.0, 'amber': 93.1877, 'tuberose': 86.0741, 'animalic': 80.7216, 'woody': 71.7312, 'salty': 61.9762, 'tropical': 58.7322, 'leather': 56.6468, 'musky': 51.9431, 'coconut': 51.5492}"
So Scandal!,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.60942.jpg,for women,3.88,415,"white floral , fruity , sweet , tuberose , lactonic , animalic ",strong,[],"['Raspberry', 'Tuberose', 'Milk', 'Jasmine Sambac', 'Orange Blossom']",[],"{'very weak': 15, 'weak': 23, 'moderate': 59, 'long lasting': 88, 'eternal': 32}",,"{'female': 79, 'more female': 4, 'unisex': 2, 'more male': 0, 'male': 3}","{'way overpriced': 3, 'overpriced': 22, 'ok': 38, 'good value': 14, 'great value': 4}",,,,,,,,spring and fall,"{'white floral': 100.0, 'fruity': 69.8104, 'sweet': 66.2214, 'tuberose': 66.0405, 'lactonic': 50.629, 'animalic': 45.9016}"
Idôle L'Intense,Lancome,https://fimgs.net/mdimg/perfume/375x500.62333.jpg,for women,3.79,408,"woody , rose , musky , floral , white floral , citrus , powdery , patchouli , vanilla , balsamic ",strong,"['Bitter Orange', 'Mandarin Orange']","['Turkish Rose', 'Grasse Rose', 'Egyptian Jasmine', 'Jasmine Sambac', 'Jasmine', 'Musk']","['Acácia', 'Cashmere Wood', 'Patchouli', 'Madagascar Vanilla', 'Cedar', 'Sandalwood']","{'very weak': 10, 'weak': 13, 'moderate': 65, 'long lasting': 91, 'eternal': 33}",,"{'female': 129, 'more female': 10, 'unisex': 5, 'more male': 2, 'male': 0}","{'way overpriced': 11, 'overpriced': 29, 'ok': 68, 'good value': 9, 'great value': 2}",,,,,,,,fall,"{'woody': 100.0, 'rose': 87.0767, 'musky': 85.7795, 'floral': 85.066, 'white floral': 75.4019, 'citrus': 72.7427, 'powdery': 71.186, 'patchouli': 54.971, 'vanilla': 52.0523, 'balsamic': 51.7605}"
Pasha de Cartier Parfum,Cartier,https://fimgs.net/mdimg/perfume/375x500.59418.jpg,for men,4.44,339,"woody , amber , warm spicy , balsamic , aromatic , vanilla , alcohol , fresh spicy , patchouli ",strong,[],"['Sandalwood', 'Liquor', 'Balsam Fir', 'Tonka Bean', 'Benzoin', 'Ambrocenide', 'Indonesian Patchouli Leaf', 'Labdanum']",[],"{'very weak': 12, 'weak': 12, 'moderate': 33, 'long lasting': 128, 'eternal': 45}",,"{'female': 2, 'more female': 1, 'unisex': 11, 'more male': 43, 'male': 74}","{'way overpriced': 1, 'overpriced': 13, 'ok': 46, 'good value': 44, 'great value': 10}",,,,,,,,winter and fall,"{'woody': 100.0, 'amber': 89.0155, 'warm spicy': 60.688, 'balsamic': 52.5211, 'aromatic': 52.2736, 'vanilla': 49.5227, 'alcohol': 47.7237, 'fresh spicy': 46.2578, 'patchouli': 45.0394}"
Eros Eau De Parfum,Versace,https://fimgs.net/mdimg/perfume/375x500.62762.jpg,for men,4.18,266,"aromatic , citrus , green , woody , vanilla , fresh spicy , amber , fruity , powdery , leather ",strong,"['Mint', 'Candy Apple', 'Lemon', 'Mandarin Orange']","['Ambroxan', 'Geranium', 'Clary Sage']","['Vanilla', 'Leather', 'Sandalwood', 'Cedar', 'Bitter Orange', 'Patchouli']","{'very weak': 21, 'weak': 13, 'moderate': 36, 'long lasting': 111, 'eternal': 33}",,"{'female': 0, 'more female': 1, 'unisex': 8, 'more male': 32, 'male': 85}","{'way overpriced': 7, 'overpriced': 18, 'ok': 61, 'good value': 26, 'great value': 8}",,,,,,,,spring,"{'aromatic': 100.0, 'citrus': 93.2746, 'green': 79.2069, 'woody': 78.3314, 'vanilla': 74.1728, 'fresh spicy': 70.631, 'amber': 59.4485, 'fruity': 58.4536, 'powdery': 56.8618, 'leather': 52.6038}"
J'Adore Infinissime,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.62638.jpg,for women,3.85,380,"white floral , tuberose , yellow floral , woody , sweet ",moderate,"['Blood Orange', 'Bergamot', 'Pink Pepper']","['Tuberose', 'Jasmine Sambac', 'Ylang-Ylang', 'Lily-of-the-Valley', 'Rose']",['Sandalwood'],"{'very weak': 23, 'weak': 22, 'moderate': 62, 'long lasting': 47, 'eternal': 17}",,"{'female': 99, 'more female': 7, 'unisex': 5, 'more male': 1, 'male': 2}","{'way overpriced': 16, 'overpriced': 45, 'ok': 24, 'good value': 8, 'great value': 0}",,,,,,,,summer,"{'white floral': 100.0, 'tuberose': 70.9471, 'yellow floral': 55.1532, 'woody': 54.1393, 'sweet': 44.273}"
Alahine,Teo Cabanel,https://fimgs.net/mdimg/perfume/375x500.4233.jpg,for women,4.04,526,"amber , woody , warm spicy , powdery , vanilla , yellow floral , sweet , white floral , fresh spicy , balsamic ",moderate,"['Ylang-Ylang', 'Bergamot']","['Pepper', 'Rose', 'Orange Blossom', 'Jasmine']","['Benzoin', 'French labdanum', 'Sandalwood', 'Vanilla', 'iris', 'Patchouli', 'Musk']","{'very weak': 8, 'weak': 14, 'moderate': 39, 'long lasting': 48, 'eternal': 19}",,"{'female': 2, 'more female': 8, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 1, 'ok': 9, 'good value': 1, 'great value': 0}",,,,,,,,fall,"{'amber': 100.0, 'woody': 90.7326, 'warm spicy': 75.7587, 'powdery': 65.563, 'vanilla': 64.4978, 'yellow floral': 61.8044, 'sweet': 58.5326, 'white floral': 56.9348, 'fresh spicy': 56.5544, 'balsamic': 56.5315}"
Poison,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.218.jpg,for women,3.95,11866,"fruity , sweet , amber , white floral , woody , warm spicy , balsamic , tuberose , floral , honey ",enormous,"['Plum', 'Wild berries', 'Coriander', 'Anise', 'Brazilian Rosewood']","['Tuberose', 'Incense', 'white honey', 'Cinnamon', 'Opoponax', 'Carnation', 'Jasmine', 'African Orange flower', 'Rose']","['Vanille', 'Amber', 'Sandalwood', 'Musk', 'Heliotrope', 'Vetiver', 'Virginia Cedar']","{'very weak': 78, 'weak': 90, 'moderate': 307, 'long lasting': 800, 'eternal': 1565}",,"{'female': 149, 'more female': 33, 'unisex': 35, 'more male': 2, 'male': 2}","{'way overpriced': 9, 'overpriced': 37, 'ok': 113, 'good value': 32, 'great value': 12}",,,,,,,,winter,"{'fruity': 100.0, 'sweet': 96.4821, 'amber': 92.2035, 'white floral': 86.7026, 'woody': 85.1251, 'warm spicy': 78.9501, 'balsamic': 69.8069, 'tuberose': 69.5822, 'floral': 65.0911, 'honey': 63.3723}"
La Yuqawam Jasmine Wisp,Rasasi,https://fimgs.net/mdimg/perfume/375x500.44897.jpg,for women,4.2,177,"sweet , fruity , vanilla , tropical , white floral , amber , citrus , fresh , coconut , powdery ",enormous,"['Mandarin Orange', 'Lemon', 'Grapefruit']","['Passionfruit', 'White Flowers', 'Pear', 'Coconut', 'Peach']","['Vanilla', 'Amber', 'Tonka Bean']","{'very weak': 7, 'weak': 3, 'moderate': 18, 'long lasting': 38, 'eternal': 39}",,"{'female': 35, 'more female': 3, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 1, 'overpriced': 4, 'ok': 15, 'good value': 11, 'great value': 5}",,,,,,,,spring,"{'sweet': 100.0, 'fruity': 96.9791, 'vanilla': 84.8611, 'tropical': 67.7777, 'white floral': 67.5, 'amber': 61.5972, 'citrus': 58.4722, 'fresh': 57.1528, 'coconut': 57.0833, 'powdery': 47.4653}"
Burberry Her Intense,Burberry,https://fimgs.net/mdimg/perfume/375x500.56761.jpg,for women,3.85,607,"fruity , amber , sweet , warm spicy , fresh ",moderate,"['Red Fruits', 'Blackberry']",['Jasmine'],['Benzoin'],"{'very weak': 28, 'weak': 29, 'moderate': 64, 'long lasting': 120, 'eternal': 40}",,"{'female': 89, 'more female': 17, 'unisex': 9, 'more male': 0, 'male': 0}","{'way overpriced': 5, 'overpriced': 10, 'ok': 52, 'good value': 24, 'great value': 4}",,,,,,,,fall and winter,"{'fruity': 100.0, 'amber': 69.4451, 'sweet': 54.6782, 'warm spicy': 49.7225, 'fresh': 45.2174}"
1 Million Lucky,Paco Rabanne,https://fimgs.net/mdimg/perfume/375x500.48903.jpg,for men,4.22,1584,"woody , sweet , nutty , honey , fruity , ozonic , citrus , amber , floral ",moderate,"['Plum', 'Ozonic notes', 'Grapefruit', 'Bergamot']","['Hazelnut', 'Honey', 'Cedar', 'Cashmere Wood', 'Jasmine', 'Orange Blossom']","['Amberwood', 'Patchouli', 'Oakmoss', 'Vetiver']","{'very weak': 43, 'weak': 61, 'moderate': 241, 'long lasting': 434, 'eternal': 97}",,"{'female': 0, 'more female': 5, 'unisex': 58, 'more male': 93, 'male': 44}","{'way overpriced': 4, 'overpriced': 17, 'ok': 107, 'good value': 43, 'great value': 5}",,,,,,,,winter,"{'woody': 100.0, 'sweet': 83.926, 'nutty': 77.2509, 'honey': 75.4982, 'fruity': 70.6051, 'ozonic': 52.5665, 'citrus': 51.5076, 'amber': 46.5634, 'floral': 45.6724}"
Midnight Fantasy,Britney Spears,https://fimgs.net/mdimg/perfume/375x500.802.jpg,for women,3.97,7337,"sweet , fruity , cherry , vanilla , powdery , nutty , floral , almond ",strong,"['Plum', 'Sour Cherry', 'Raspberry']","['Orchid', 'iris', 'Freesia']","['Vanilla', 'Amber', 'Musk']","{'very weak': 109, 'weak': 181, 'moderate': 609, 'long lasting': 759, 'eternal': 385}",,"{'female': 158, 'more female': 11, 'unisex': 8, 'more male': 0, 'male': 2}","{'way overpriced': 4, 'overpriced': 8, 'ok': 29, 'good value': 59, 'great value': 82}",,,,,,,,winter,"{'sweet': 100.0, 'fruity': 97.0704, 'cherry': 71.5287, 'vanilla': 62.6033, 'powdery': 55.4413, 'nutty': 50.7643, 'floral': 48.8268, 'almond': 46.6115}"
Shock-In-Scent For Women,Police,https://fimgs.net/mdimg/perfume/375x500.53442.jpg,for women,3.95,77,"honey , sweet , almond , amber , white floral , floral , nutty , powdery , fruity , animalic ",enormous,"['Almond', 'Bergamot']","['White Flowers', 'Jasmine', 'Ylang-Ylang']","['Honey', 'Amber', 'Orris Root']","{'very weak': 2, 'weak': 4, 'moderate': 17, 'long lasting': 21, 'eternal': 16}",,"{'female': 23, 'more female': 0, 'unisex': 2, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 1, 'good value': 6, 'great value': 19}",,,,,,,,winter,"{'honey': 100.0, 'sweet': 87.0145, 'almond': 72.6087, 'amber': 68.5507, 'white floral': 68.5507, 'floral': 67.8913, 'nutty': 55.5652, 'powdery': 51.3551, 'fruity': 51.3044, 'animalic': 49.8334}"
Lost Cherry,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.51411.jpg,for women and men,4.18,2274,"sweet , almond , cherry , nutty , fruity , vanilla , amber , warm spicy , woody , alcohol ",moderate,"['Sour Cherry', 'Bitter Almond', 'Liquor']","['Sour Cherry', 'Plum', 'Turkish Rose', 'Jasmine Sambac']","['Tonka Bean', 'Vanilla', 'Peru Balsam', 'Benzoin', 'Cinnamon', 'Sandalwood', 'Cedar', 'Cloves', 'Vetiver', 'Patchouli']","{'very weak': 115, 'weak': 145, 'moderate': 342, 'long lasting': 263, 'eternal': 108}",,"{'female': 159, 'more female': 115, 'unisex': 134, 'more male': 4, 'male': 5}","{'way overpriced': 235, 'overpriced': 89, 'ok': 52, 'good value': 6, 'great value': 12}",,,,,,,,winter,"{'sweet': 100.0, 'almond': 93.2931, 'cherry': 86.6359, 'nutty': 82.7012, 'fruity': 76.8985, 'vanilla': 62.6277, 'amber': 61.1746, 'warm spicy': 57.9752, 'woody': 56.3258, 'alcohol': 54.1001}"
Ombré Leather (2018),Tom Ford,https://fimgs.net/mdimg/perfume/375x500.50239.jpg,for women and men,4.4,2853,"leather , animalic , white floral , warm spicy , amber , smoky , earthy , mossy , patchouli , woody ",moderate,['Cardamom'],"['Leather', 'Jasmine Sambac']","['Amber', 'Moss', 'Patchouli']","{'very weak': 64, 'weak': 79, 'moderate': 258, 'long lasting': 726, 'eternal': 280}",,"{'female': 4, 'more female': 8, 'unisex': 151, 'more male': 164, 'male': 187}","{'way overpriced': 37, 'overpriced': 114, 'ok': 218, 'good value': 70, 'great value': 20}",,,,,,,,winter,"{'leather': 100.0, 'animalic': 71.3973, 'white floral': 58.7613, 'warm spicy': 56.2764, 'amber': 54.7961, 'smoky': 51.0, 'earthy': 49.1178, 'mossy': 48.6103, 'patchouli': 45.2266, 'woody': 44.719}"
Y Eau de Parfum,Yves Saint Laurent,https://fimgs.net/mdimg/perfume/375x500.50757.jpg,for men,4.18,2485,"aromatic , woody , fresh spicy , amber , warm spicy , fruity , fresh , herbal , citrus , green ",strong,"['Apple', 'Ginger', 'Bergamot']","['Sage', 'Juniper Berries', 'Geranium']","['Amberwood', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']","{'very weak': 60, 'weak': 106, 'moderate': 346, 'long lasting': 924, 'eternal': 166}",,"{'female': 2, 'more female': 3, 'unisex': 25, 'more male': 167, 'male': 313}","{'way overpriced': 49, 'overpriced': 126, 'ok': 236, 'good value': 71, 'great value': 8}",,,,,,,,spring,"{'aromatic': 100.0, 'woody': 79.5738, 'fresh spicy': 73.4814, 'amber': 72.0841, 'warm spicy': 71.743, 'fruity': 66.1307, 'fresh': 61.2038, 'herbal': 58.4126, 'citrus': 57.4027, 'green': 53.8797}"
Burberry Her,Burberry,https://fimgs.net/mdimg/perfume/375x500.51694.jpg,for women,3.73,2419,"fruity , sweet , woody , powdery , musky ",moderate,"['Strawberry', 'Raspberry', 'Blackberry', 'Sour Cherry', 'Black Currant', 'Mandarin Orange', 'Lemon']","['Violet', 'Jasmine']","['Musk', 'Vanilla', 'Oakmoss', 'Cashmeran', 'Woody Notes', 'Amber', 'Patchouli']","{'very weak': 70, 'weak': 88, 'moderate': 274, 'long lasting': 336, 'eternal': 150}",,"{'female': 241, 'more female': 39, 'unisex': 22, 'more male': 1, 'male': 1}","{'way overpriced': 13, 'overpriced': 53, 'ok': 155, 'good value': 52, 'great value': 11}",,,,,,,,spring,"{'fruity': 100.0, 'sweet': 78.4423, 'woody': 49.2938, 'powdery': 47.7743, 'musky': 47.7378}"
Oud for Greatness,Initio Parfums Prives,https://fimgs.net/mdimg/perfume/375x500.53641.jpg,for women and men,4.45,1278,"warm spicy , fresh spicy , oud , patchouli , lavender , musky , leather , woody , earthy , tobacco ",enormous,"['Saffron', 'Nutmeg', 'Lavender']",['Agarwood (Oud)'],"['Patchouli', 'Musk']","{'very weak': 52, 'weak': 39, 'moderate': 61, 'long lasting': 167, 'eternal': 576}",,"{'female': 9, 'more female': 4, 'unisex': 96, 'more male': 145, 'male': 75}","{'way overpriced': 80, 'overpriced': 89, 'ok': 70, 'good value': 45, 'great value': 13}",,,,,,,,winter,"{'warm spicy': 100.0, 'fresh spicy': 90.1848, 'oud': 88.9977, 'patchouli': 62.7765, 'lavender': 61.3591, 'musky': 56.9299, 'leather': 55.229, 'woody': 49.6659, 'earthy': 49.4179, 'tobacco': 48.9218}"
Sauvage Eau de Parfum,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.48100.jpg,for men,4.03,2841,"fresh spicy , citrus , amber , musky , lavender , anis , soft spicy , vanilla , herbal , aromatic ",strong,['Bergamot'],"['Sichuan Pepper', 'Lavender', 'Star Anise', 'Nutmeg']","['Ambroxan', 'Vanilla']","{'very weak': 86, 'weak': 78, 'moderate': 213, 'long lasting': 927, 'eternal': 330}",,"{'female': 3, 'more female': 1, 'unisex': 14, 'more male': 58, 'male': 273}","{'way overpriced': 38, 'overpriced': 101, 'ok': 153, 'good value': 35, 'great value': 7}",,,,,,,,winter,"{'fresh spicy': 100.0, 'citrus': 80.6111, 'amber': 79.0337, 'musky': 59.4202, 'lavender': 54.4901, 'anis': 52.5651, 'soft spicy': 52.4421, 'vanilla': 51.3353, 'herbal': 50.9235, 'aromatic': 49.5814}"
Wanted by Night,Azzaro,https://fimgs.net/mdimg/perfume/375x500.49144.jpg,for men,4.21,1676,"warm spicy , cinnamon , woody , citrus , fruity , sweet , amber , aromatic , tobacco , fresh spicy ",strong,"['Cinnamon', 'Mandarin Orange', 'Lavender', 'Lemon']","['Fruity Notes', 'Incense', 'Red Cedar', 'Cumin']","['Tobacco', 'Vanilla', 'Cedar', 'Leather', 'Benzoin', 'Cypress', 'Iso E Super', 'Patchouli']","{'very weak': 59, 'weak': 59, 'moderate': 222, 'long lasting': 608, 'eternal': 91}",,"{'female': 3, 'more female': 2, 'unisex': 15, 'more male': 102, 'male': 177}","{'way overpriced': 6, 'overpriced': 20, 'ok': 107, 'good value': 103, 'great value': 49}",,,,,,,,fall and winter,"{'warm spicy': 100.0, 'cinnamon': 93.0397, 'woody': 89.6462, 'citrus': 86.2279, 'fruity': 85.8688, 'sweet': 79.7691, 'amber': 71.948, 'aromatic': 68.6412, 'tobacco': 68.2696, 'fresh spicy': 65.3097}"
